shared name,IDs,cor,p_value,Extract,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17
,BioactivityCHIKV,0,0,68.0,1.0,4.0,1.0,3.0,19.0,8.0,16.0,41.0,140.0,17.0,10.5,5.0,57.0
1,270.279_1698.0,-0.3243776067257055,0.2578493567193687,0.00013918241643162785,0.159407964979545,0.022839731371483516,0.3139762066948739,0.05510888825388254,0.003703745144748025,0.0021999430232333248,0.00511053046992404,0.004549895431160472,0.001584169097451132,0.0011857656179592206,0.0013028581970363226,0.0011880918432522149,0.0009190047111510988
2,271.283_1699.0,-0.3183746499426689,0.2672711996717645,1.392670182655241e-05,0.026113650031122572,0.0037518603492639213,0.055272555373419706,0.009010081602764593,0.000590936565368889,0.000369816239694062,0.000827114149439522,0.0007558443904834459,0.00024664682657199173,0.00017298422738864673,0.00016187960372145147,0.00012257081599850692,0.00014879736865942985
3,279.174_1413.0,0.11344978411662024,0.6993750598325387,7.760802671412767e-05,6.464336309393652e-10,1.221705197308997e-10,8.65046921084288e-10,3.423586237287528e-10,3.450476331160036e-06,3.209307113850251e-11,5.572150622674322e-05,0.0018619874779999541,1.2864661363169238e-05,1.2132156630256524e-06,3.0216585111825404e-06,2.3828781921550337e-11,1.845665318083017e-11
4,280.264_1420.0,-0.20070295907923663,0.4914532731260303,4.456229503752999e-05,0.06101911257941559,8.258893161101724e-05,8.404894385552705e-05,5.1218933670169577e-05,7.313916421676596e-06,3.209307113850251e-11,3.6218852871765346e-11,3.929307836875349e-06,7.412950634557588e-05,2.9457701419473213e-11,6.503303507906362e-07,0.0003131958846552639,5.4132070447859897e-05
5,281.19_1031.0,-0.20133043372914397,0.4900712250540089,4.369353016275313e-05,6.464336309393652e-10,0.00011949041183430163,0.02992650011956139,8.51822926494962e-05,3.672463249685732e-11,3.209307113850251e-11,3.6218852871765346e-11,2.981473128840779e-11,3.132689058663393e-11,9.52883687154931e-07,2.5464854257300468e-11,2.3828781921550337e-11,1.845665318083017e-11
6,282.279_1660.0,-0.2019289701633213,0.4887546096034097,0.00045630842376149486,0.5618967727403965,0.0010149603523378172,0.002860098161169824,0.0009171836610225586,0.00013063375720944766,3.054418524594523e-05,7.408860307129508e-05,4.068779378847482e-05,0.0008746385844254016,4.986639988532427e-05,0.00039469672859667615,0.0038220619026880813,0.00040959313666359253
7,297.185_1652.0,-0.27121389090934955,0.34828366630865343,6.741463786000821e-05,6.464336309393652e-10,0.011507454708563814,0.008201229211627527,7.54039987413321e-05,3.672463249685732e-11,3.209307113850251e-11,8.952252770605995e-07,3.7865544353751715e-06,3.132689058663393e-11,2.9457701419473213e-11,2.5464854257300468e-11,1.3499435458863974e-06,1.845665318083017e-11
8,297.185_1556.0,-0.21487488822459774,0.46068821543627136,0.000328602176363985,6.464336309393652e-10,0.004233760773179888,0.05458205637440424,0.0004329826806831622,5.934412697718294e-06,1.0114721204644214e-06,6.607841498553746e-05,3.565525149147514e-05,3.132689058663393e-11,2.178526012593367e-06,6.664459826878806e-06,3.733184523144401e-06,1.7806665009818033e-06
9,298.311_1968.0,-0.2966429266660238,0.30306982257540016,2.0403015335777577e-05,0.026992466616699733,0.006353463539451539,0.0780112866556447,0.007468283813733177,0.00088491452060053,0.0006119447012088821,0.0011619963929068052,0.0010107617350491366,0.0003284300689532842,0.00027074062330650526,0.00023712085988267893,0.0002322563974606907,0.00018120882651427025
